Variable,Value
x#1#3#3#3#3#1,0.0
x#1#3#3#4#1#1,0.0
x#1#3#3#4#1#2,0.0
x#1#3#3#4#2#1,0.0
x#1#3#3#4#3#1,0.0
x#1#3#4#3#1#1,0.0
x#1#3#4#3#1#2,0.0
x#1#3#4#3#2#1,0.0
x#1#3#4#3#3#1,0.0
x#1#3#4#4#1#1,0.0
x#1#3#4#4#1#2,0.0
x#1#3#4#4#2#1,0.0
x#1#3#4#4#3#1,0.0
x#1#3#5#3#1#1,0.0
x#1#3#5#3#1#2,0.0
x#1#3#5#3#2#1,0.0
x#1#3#5#3#3#1,0.0
x#1#3#5#4#1#1,0.0
x#1#3#5#4#1#2,0.0
x#1#3#5#4#2#1,0.0
x#1#3#5#4#3#1,0.0
x#1#3#6#3#1#1,0.0
x#1#3#6#3#1#2,0.0
x#1#3#6#3#2#1,0.0
x#1#3#6#3#3#1,0.0
x#1#3#6#4#1#1,0.0
x#1#3#6#4#1#2,0.0
x#1#3#6#4#2#1,0.0
x#1#3#6#4#3#1,0.0
x#1#3#7#3#1#1,0.0
x#1#3#7#3#1#2,0.0
x#1#3#7#3#2#1,0.0
x#1#3#7#3#3#1,0.0
x#1#3#7#4#1#1,0.0
x#1#3#7#4#1#2,0.0
x#1#3#7#4#2#1,0.0
x#1#3#7#4#3#1,0.0
x#1#3#8#3#1#1,0.0
x#1#3#8#3#1#2,0.0
x#1#3#8#3#2#1,0.0
x#1#3#8#3#3#1,0.0
x#1#3#8#4#1#1,0.0
x#1#3#8#4#1#2,0.0
x#1#3#8#4#2#1,0.0
x#1#3#8#4#3#1,0.0
x#1#3#9#3#1#1,0.0
x#1#3#9#3#1#2,0.0
x#1#3#9#3#2#1,0.0
x#1#3#9#3#3#1,0.0
x#1#3#9#4#1#1,0.0
x#1#3#9#4#1#2,0.0
x#1#3#9#4#2#1,0.0
x#1#3#9#4#3#1,0.0
x#1#3#10#3#1#1,0.0
x#1#3#10#3#1#2,0.0
x#1#3#10#3#2#1,0.0
x#1#3#10#3#3#1,0.0
x#1#3#10#4#1#1,0.0
x#1#3#10#4#1#2,0.0
x#1#3#10#4#2#1,0.0
x#1#3#10#4#3#1,0.0
x#1#3#11#3#1#1,0.0
x#1#3#11#3#1#2,0.0
x#1#3#11#3#2#1,0.0
x#1#3#11#3#3#1,0.0
x#1#3#11#4#1#1,0.0
x#1#3#11#4#1#2,0.0
x#1#3#11#4#2#1,0.0
x#1#3#11#4#3#1,0.0
x#1#3#12#3#1#1,0.0
x#1#3#12#3#1#2,0.0
x#1#3#12#3#2#1,0.0
x#1#3#12#3#3#1,0.0
x#1#3#12#4#1#1,0.0
x#1#3#12#4#1#2,0.0
x#1#3#12#4#2#1,0.0
x#1#3#12#4#3#1,0.0
x#1#3#13#3#1#1,0.0
x#1#3#13#3#1#2,0.0
x#1#3#13#3#2#1,0.0
x#1#3#13#3#3#1,0.0
x#1#3#13#4#1#1,0.0
x#1#3#13#4#1#2,0.0
x#1#3#13#4#2#1,0.0
x#1#3#13#4#3#1,0.0
x#1#3#14#3#1#1,0.0
x#1#3#14#3#1#2,0.0
x#1#3#14#3#2#1,0.0
x#1#3#14#3#3#1,0.0
x#1#3#14#4#1#1,0.0
x#1#3#14#4#1#2,0.0
x#1#3#14#4#2#1,0.0
x#1#3#14#4#3#1,0.0
x#1#3#15#3#1#1,0.0
x#1#3#15#3#1#2,0.0
x#1#3#15#3#2#1,0.0
x#1#3#15#3#3#1,0.0
x#1#3#15#4#1#1,0.0
x#1#3#15#4#1#2,0.0
x#1#3#15#4#2#1,0.0
x#1#3#15#4#3#1,0.0
x#1#3#16#3#1#1,0.0
x#1#3#16#3#1#2,0.0
x#1#3#16#3#2#1,0.0
x#1#3#16#3#3#1,0.0
x#1#3#16#4#1#1,0.0
x#1#3#16#4#1#2,0.0
x#1#3#16#4#2#1,0.0
