Variável,Valor
x#1#1#13#4#3#3,0.0
x#1#1#13#4#3#4,0.0
x#1#1#13#4#3#5,0.0
x#1#1#13#5#1#1,0.0
x#1#1#13#5#1#2,0.0
x#1#1#13#5#1#3,0.0
x#1#1#13#5#2#1,0.0
x#1#1#13#5#2#2,0.0
x#1#1#13#5#3#1,0.0
x#1#1#13#5#3#2,0.0
x#1#1#13#5#3#3,0.0
x#1#1#13#5#3#4,0.0
x#1#1#13#5#3#5,0.0
x2#3#1#13#1#1#1,0.0
x2#3#1#13#1#1#2,0.0
x2#3#1#13#1#1#3,0.0
x2#3#1#13#1#2#1,0.0
x2#3#1#13#1#2#2,0.0
Q#1#1#13,0.0
I#1#1#13,0.0
yd#1#1#2#14,0.0
x#1#1#14#3#1#1,0.0
x#1#1#14#3#1#2,0.0
x#1#1#14#3#1#3,0.0
x#1#1#14#3#2#1,0.0
x#1#1#14#3#2#2,0.0
x#1#1#14#3#3#1,0.0
x#1#1#14#3#3#2,0.0
x#1#1#14#3#3#3,0.0
x#1#1#14#3#3#4,0.0
x#1#1#14#3#3#5,0.0
x#1#1#14#4#1#1,0.0
x#1#1#14#4#1#2,0.0
x#1#1#14#4#1#3,0.0
x#1#1#14#4#2#1,0.0
x#1#1#14#4#2#2,0.0
x#1#1#14#4#3#1,0.0
x#1#1#14#4#3#2,0.0
x#1#1#14#4#3#3,0.0
x#1#1#14#4#3#4,0.0
x#1#1#14#4#3#5,0.0
x#1#1#14#5#1#1,0.0
x#1#1#14#5#1#2,0.0
x#1#1#14#5#1#3,0.0
x#1#1#14#5#2#1,0.0
x#1#1#14#5#2#2,0.0
x#1#1#14#5#3#1,0.0
x#1#1#14#5#3#2,0.0
x#1#1#14#5#3#3,0.0
x#1#1#14#5#3#4,0.0
x#1#1#14#5#3#5,0.0
x2#3#1#14#1#1#1,0.0
x2#3#1#14#1#1#2,0.0
x2#3#1#14#1#1#3,0.0
x2#3#1#14#1#2#1,0.0
x2#3#1#14#1#2#2,0.0
Q#1#1#14,0.0
I#1#1#14,0.0
yd#1#1#2#15,0.0
x#1#1#15#5#3#5,0.0
x#1#1#15#5#3#4,0.0
x#1#1#15#5#3#3,0.0
x#1#1#15#5#3#2,0.0
x#1#1#15#5#3#1,0.0
x#1#1#15#5#2#2,0.0
x#1#1#15#5#2#1,0.0
x#1#1#15#5#1#3,0.0
x#1#1#15#5#1#2,0.0
x#1#1#15#5#1#1,0.0
x#1#1#15#4#3#5,0.0
x#1#1#15#4#3#4,0.0
x#1#1#15#4#3#3,0.0
x#1#1#15#4#3#2,0.0
x#1#1#15#4#3#1,0.0
x#1#1#15#4#2#2,0.0
x#1#1#15#4#2#1,0.0
x#1#1#15#4#1#3,0.0
x#1#1#15#4#1#2,0.0
x#1#1#15#4#1#1,0.0
x#1#1#15#3#3#5,0.0
x#1#1#15#3#3#4,0.0
x#1#1#15#3#3#3,0.0
x#1#1#15#3#3#2,0.0
x#1#1#15#3#3#1,0.0
x#1#1#15#3#2#2,0.0
x#1#1#15#3#2#1,0.0
x#1#1#15#3#1#3,0.0
x#1#1#15#3#1#2,0.0
x#1#1#15#3#1#1,0.0
x2#3#1#15#1#1#1,0.0
x2#3#1#15#1#1#2,0.0
x2#3#1#15#1#1#3,0.0
x2#3#1#15#1#2#1,0.0
x2#3#1#15#1#2#2,0.0
Q#1#1#15,0.0
I#1#1#15,0.0
yd#1#1#2#16,0.0
x#1#1#16#5#3#5,0.0
x#1#1#16#5#3#3,0.0
x#1#1#16#3#1#1,0.0
x#1#1#16#3#1#2,0.0
x#1#1#16#3#1#3,0.0
x#1#1#16#3#2#1,0.0
x#1#1#16#3#2#2,0.0
x#1#1#16#3#3#1,0.0
x#1#1#16#3#3#2,0.0
x#1#1#16#3#3#3,0.0
x#1#1#16#3#3#4,0.0
x#1#1#16#3#3#5,0.0
x#1#1#16#4#1#1,0.0
x#1#1#16#4#1#2,0.0
x#1#1#16#4#1#3,0.0
x#1#1#16#4#2#1,0.0
x#1#1#16#4#2#2,0.0
x#1#1#16#4#3#1,0.0
x#1#1#16#5#3#4,0.0
x#1#1#16#4#3#2,0.0
x#1#1#16#4#3#3,0.0
x#1#1#16#4#3#4,0.0
x#1#1#16#4#3#5,0.0
x#1#1#16#5#1#1,0.0
x#1#1#16#5#1#2,0.0
x#1#1#16#5#1#3,0.0
x#1#1#16#5#2#1,0.0
x#1#1#16#5#2#2,0.0
x#1#1#16#5#3#1,0.0
x#1#1#16#5#3#2,0.0
x2#3#1#16#1#1#1,0.0
x2#3#1#16#1#1#2,0.0
x2#3#1#16#1#1#3,0.0
x2#3#1#16#1#2#1,0.0
x2#3#1#16#1#2#2,0.0
Q#1#1#16,0.0
I#1#1#16,0.0
yd#1#1#2#17,0.0
x#1#1#17#5#3#5,0.0
x#1#1#17#5#3#4,0.0
x#1#1#17#5#3#3,0.0
x#1#1#17#5#3#2,0.0
x#1#1#17#5#3#1,0.0
x#1#1#17#5#2#2,0.0
x#1#1#17#5#2#1,0.0
x#1#1#17#5#1#3,0.0
x#1#1#17#5#1#2,0.0
x#1#1#17#5#1#1,0.0
x#1#1#17#4#3#5,0.0
x#1#1#17#4#3#4,0.0
x#1#1#17#4#3#3,0.0
x#1#1#17#4#3#2,0.0
x#1#1#17#4#3#1,0.0
x#1#1#17#4#2#2,0.0
x#1#1#17#4#2#1,0.0
x#1#1#17#4#1#3,0.0
x#1#1#17#4#1#2,0.0
x#1#1#17#4#1#1,0.0
x#1#1#17#3#3#5,0.0
x#1#1#17#3#3#4,0.0
x#1#1#17#3#3#3,0.0
x#1#1#17#3#3#2,0.0
x#1#1#17#3#3#1,0.0
x#1#1#17#3#2#2,0.0
x#1#1#17#3#2#1,0.0
x#1#1#17#3#1#3,0.0
x#1#1#17#3#1#2,0.0
x#1#1#17#3#1#1,0.0
